time,right pupil diameter,left pupil diameter
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.663200000001552326e-02,3.819999999999999840e+00,3.640000000000000124e+00
3.320300000001452645e-02,3.979999999999999982e+00,3.560000000000000053e+00
4.989700000001562330e-02,4.019999999999999574e+00,3.580000000000000071e+00
6.646800000001462649e-02,3.839999999999999858e+00,3.640000000000000124e+00
8.325200000001586886e-02,3.779999999999999805e+00,3.600000000000000089e+00
9.988400000000297041e-02,3.700000000000000178e+00,3.620000000000000107e+00
1.165160000000184937e-01,3.660000000000000142e+00,3.580000000000000071e+00
1.330260000000009768e-01,3.640000000000000124e+00,3.680000000000000160e+00
1.497500000000115961e-01,3.640000000000000124e+00,3.720000000000000195e+00
1.663520000000175969e-01,3.479999999999999982e+00,3.899999999999999911e+00
1.830450000000212185e-01,3.560000000000000053e+00,3.640000000000000124e+00
1.995550000000037016e-01,3.479999999999999982e+00,3.620000000000000107e+00
2.162480000000073233e-01,3.600000000000000089e+00,3.580000000000000071e+00
2.329710000000204673e-01,3.479999999999999982e+00,3.720000000000000195e+00
2.496340000000145665e-01,3.479999999999999982e+00,3.759999999999999787e+00
2.662050000000135697e-01,3.459999999999999964e+00,3.819999999999999840e+00
2.829590000000052896e-01,3.520000000000000018e+00,3.859999999999999876e+00
2.994690000000161945e-01,3.439999999999999947e+00,3.779999999999999805e+00
3.160400000000151977e-01,3.399999999999999911e+00,3.700000000000000178e+00
3.326720000000022992e-01,3.459999999999999964e+00,3.859999999999999876e+00
3.493960000000129185e-01,3.479999999999999982e+00,3.680000000000000160e+00
3.659670000000119217e-01,3.520000000000000018e+00,3.720000000000000195e+00
3.825690000000179225e-01,3.520000000000000018e+00,3.859999999999999876e+00
3.992010000000050240e-01,3.560000000000000053e+00,3.879999999999999893e+00
4.159549999999967440e-01,3.580000000000000071e+00,3.799999999999999822e+00
4.325870000000122673e-01,3.600000000000000089e+00,3.939999999999999947e+00
4.492500000000063665e-01,3.600000000000000089e+00,3.819999999999999840e+00
4.657899999999983720e-01,3.580000000000000071e+00,3.879999999999999893e+00
4.824530000000208929e-01,3.580000000000000071e+00,3.779999999999999805e+00
4.991150000000175169e-01,3.600000000000000089e+00,3.819999999999999840e+00
5.157169999999950960e-01,3.620000000000000107e+00,3.779999999999999805e+00
5.323180000000036216e-01,3.620000000000000107e+00,3.859999999999999876e+00
5.490120000000047185e-01,3.660000000000000142e+00,4.040000000000000036e+00
5.656740000000013424e-01,3.620000000000000107e+00,4.080000000000000071e+00
5.823670000000049640e-01,3.660000000000000142e+00,3.839999999999999858e+00
5.990600000000085856e-01,3.680000000000000160e+00,3.839999999999999858e+00
6.156620000000145865e-01,3.680000000000000160e+00,3.620000000000000107e+00
6.323550000000182081e-01,3.620000000000000107e+00,3.839999999999999858e+00
6.489260000000172113e-01,3.600000000000000089e+00,3.899999999999999911e+00
6.655279999999947904e-01,3.640000000000000124e+00,3.839999999999999858e+00
6.821600000000103137e-01,3.640000000000000124e+00,4.059999999999999609e+00
6.987919999999974152e-01,3.620000000000000107e+00,3.839999999999999858e+00
7.154240000000129385e-01,3.620000000000000107e+00,3.799999999999999822e+00
7.321469999999976608e-01,3.640000000000000124e+00,3.799999999999999822e+00
7.488409999999987576e-01,3.700000000000000178e+00,3.759999999999999787e+00
