time,x,y
0.000000000000000000e+00,3.568020833333332975e-01,-1.428319444444444475e+00
1.660200000014810939e-02,5.428333333333333899e-01,-3.376111111111110841e-01
3.329500000018015271e-02,5.600833333333332664e-01,-1.394166666666667442e-01
4.983500000025742338e-02,5.682604166666666012e-01,-3.106944444444437181e-02
6.646700000010241638e-02,5.709270833333334183e-01,1.759722222222215304e-02
8.322100000032151002e-02,5.752500000000000391e-01,5.179166666666656926e-02
9.985300000016650301e-02,5.787499999999999867e-01,5.654166666666671226e-02
1.164860000003500318e-01,5.814895833333333375e-01,6.781944444444454323e-02
1.330870000001596054e-01,5.829270833333333179e-01,7.343055555555555447e-02
1.498410000003786990e-01,5.842708333333332948e-01,8.305555555555543812e-02
1.663510000003043388e-01,5.835833333333333428e-01,8.677777777777784252e-02
1.831050000000686850e-01,5.848750000000000338e-01,9.383333333333321313e-02
1.995850000002974411e-01,5.873749999999999805e-01,9.773611111111113470e-02
2.163090000003649038e-01,5.876249999999999529e-01,9.937499999999999112e-02
2.329100000001744775e-01,5.680729166666667052e-01,1.617916666666666670e-01
2.496030000002065208e-01,5.330833333333333535e-01,3.281805555555555864e-01
2.662960000002385641e-01,4.786354166666667020e-01,4.904166666666667229e-01
2.828670000003512541e-01,4.690729166666666727e-01,5.673472222222222250e-01
2.994380000000091968e-01,4.757708333333333650e-01,6.214444444444444660e-01
3.160710000001927256e-01,4.887916666666666798e-01,6.674027777777777892e-01
3.327030000000377186e-01,4.964166666666666727e-01,6.797638888888888342e-01
3.494260000002213928e-01,4.992083333333333650e-01,6.809305555555555944e-01
3.659670000001824519e-01,5.222708333333333508e-01,6.447777777777777830e-01
3.828430000003208988e-01,5.357708333333334183e-01,6.301805555555555216e-01
3.992920000000594882e-01,5.501666666666665817e-01,6.060138888888888520e-01
4.159550000003946479e-01,5.571041666666667336e-01,5.973611111111111205e-01
4.325560000002042216e-01,5.609270833333332984e-01,5.936111111111110894e-01
4.493100000004233152e-01,5.687083333333333712e-01,5.873472222222222427e-01
4.657900000001973240e-01,5.735312500000000480e-01,5.769722222222222197e-01
4.824520000001939479e-01,5.753854166666666492e-01,5.735000000000000098e-01
4.990540000003420573e-01,5.788124999999999520e-01,5.703611111111110965e-01
5.156860000001870503e-01,5.806249999999999467e-01,5.535972222222221850e-01
5.323490000000674627e-01,5.755937500000000151e-01,5.237083333333333313e-01
5.491330000004381873e-01,5.741458333333332442e-01,5.205555555555555491e-01
5.657040000000961300e-01,5.746875000000000178e-01,5.199166666666665826e-01
5.822750000002088200e-01,5.729270833333333091e-01,5.214861111111110947e-01
5.990910000000440050e-01,5.710208333333333108e-01,5.280277777777777626e-01
6.155700000003889727e-01,5.694374999999999298e-01,5.301388888888889372e-01
6.322330000002693851e-01,5.685104166666666847e-01,5.295555555555555571e-01
6.488650000001143781e-01,5.664062500000000000e-01,5.322222222222221522e-01
6.654660000003786990e-01,5.655312499999999298e-01,5.354444444444443896e-01
6.820370000000366417e-01,5.648750000000000160e-01,5.389166666666667105e-01
6.988530000003265741e-01,5.641979166666666323e-01,5.389444444444444482e-01
7.154540000001361477e-01,5.641666666666667052e-01,5.392500000000000071e-01
7.321470000001681910e-01,5.645104166666665702e-01,5.391666666666665719e-01
7.486880000001292501e-01,5.766875000000000195e-01,5.308055555555555305e-01
7.652890000003935711e-01,5.830104166666667531e-01,5.135694444444444118e-01
7.819520000002739835e-01,5.838125000000000675e-01,5.176111111111111329e-01
7.987060000000383297e-01,5.851770833333332922e-01,5.140972222222222054e-01
8.152770000001510198e-01,5.861770833333334041e-01,5.160416666666667318e-01
8.318180000001120789e-01,5.862812500000000870e-01,5.137222222222221912e-01
8.485410000002957531e-01,5.872291666666666909e-01,5.153472222222221788e-01
8.652040000001761655e-01,5.883958333333333401e-01,5.122222222222222454e-01
8.819270000003598398e-01,5.884062500000000195e-01,5.136388888888888671e-01
8.984370000002854795e-01,5.895104166666665924e-01,5.158333333333333659e-01
9.150390000004335889e-01,5.881562500000000471e-01,5.145277777777776951e-01
9.320370000000366417e-01,5.889583333333333615e-01,5.225555555555555509e-01
9.483340000001589942e-01,5.885937499999999156e-01,5.280833333333333490e-01
9.649350000004233152e-01,5.887395833333334272e-01,5.283888888888889079e-01
9.815370000001166773e-01,5.905937500000000284e-01,5.324166666666666492e-01
9.981990000001133012e-01,5.903125000000000178e-01,5.367083333333333428e-01
1.014954000000216183e+00,5.904479166666667389e-01,5.410694444444443807e-01
1.031586000000061176e+00,5.907916666666666039e-01,5.415694444444444366e-01
1.048187000000325497e+00,5.910416666666666874e-01,5.428472222222222587e-01
1.064850000000205910e+00,5.923749999999999849e-01,5.456388888888888955e-01
1.081421000000318600e+00,5.922187500000000160e-01,5.454999999999999849e-01
1.098053000000163593e+00,5.918333333333333224e-01,5.505138888888889692e-01
1.114838000000418106e+00,5.929375000000000062e-01,5.546944444444443789e-01
1.131348000000343745e+00,5.928125000000000755e-01,5.586249999999999272e-01
1.147949000000153319e+00,6.034791666666666776e-01,5.572222222222222854e-01
1.164580999999998312e+00,6.057291666666666519e-01,5.570555555555555260e-01
1.181152000000111002e+00,6.073333333333332806e-01,5.592916666666667425e-01
1.197937000000365515e+00,6.086979166666667274e-01,5.628333333333332966e-01
1.214661000000432978e+00,6.108958333333334156e-01,5.633194444444444837e-01
1.231445000000348955e+00,6.129791666666667416e-01,5.664305555555555483e-01
1.247833000000355241e+00,6.131250000000000311e-01,5.696250000000000480e-01
1.264404000000013184e+00,6.143020833333333597e-01,5.689444444444444748e-01
1.281036000000312924e+00,6.135520833333333313e-01,5.705972222222222001e-01
