time,right pupil diameter,left pupil diameter
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.675399999999171996e-02,2.859999999999999876e+00,3.720000000000000195e+00
3.335600000002614252e-02,0.000000000000000000e+00,3.740000000000000213e+00
5.013999999994211976e-02,0.000000000000000000e+00,3.580000000000000071e+00
6.661999999994350219e-02,0.000000000000000000e+00,3.459999999999999964e+00
8.358799999996335828e-02,0.000000000000000000e+00,2.899999999999999911e+00
9.988399999997454870e-02,0.000000000000000000e+00,2.540000000000000036e+00
1.165160000000469154e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.330870000000459186e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.497799999999642750e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.663819999999986976e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.831670000000258369e-01,3.180000000000000160e+00,0.000000000000000000e+00
1.997069999999894208e-01,3.180000000000000160e+00,1.760000000000000009e+00
2.163389999999481006e-01,3.240000000000000213e+00,1.840000000000000080e+00
2.329710000000204673e-01,3.600000000000000089e+00,0.000000000000000000e+00
2.496340000000145665e-01,3.540000000000000036e+00,0.000000000000000000e+00
2.662349999999378269e-01,3.299999999999999822e+00,0.000000000000000000e+00
2.828369999999722495e-01,3.560000000000000053e+00,0.000000000000000000e+00
2.995300000000042928e-01,3.580000000000000071e+00,2.859999999999999876e+00
3.161010000000032960e-01,3.540000000000000036e+00,2.839999999999999858e+00
3.326720000000022992e-01,3.580000000000000071e+00,2.979999999999999982e+00
3.495179999999891152e-01,3.439999999999999947e+00,3.200000000000000178e+00
3.661190000000260625e-01,3.319999999999999840e+00,3.299999999999999822e+00
3.827820000000201617e-01,3.160000000000000142e+00,3.359999999999999876e+00
3.993839999999408974e-01,3.060000000000000053e+00,3.379999999999999893e+00
4.159549999999399006e-01,3.359999999999999876e+00,3.379999999999999893e+00
4.326170000000502114e-01,3.620000000000000107e+00,3.399999999999999911e+00
4.493099999999685679e-01,3.120000000000000107e+00,3.419999999999999929e+00
4.659729999999626671e-01,2.979999999999999982e+00,3.439999999999999947e+00
4.824830000000019936e-01,3.000000000000000000e+00,3.459999999999999964e+00
4.992069999999557695e-01,3.040000000000000036e+00,3.459999999999999964e+00
5.159609999999474894e-01,3.040000000000000036e+00,3.419999999999999929e+00
5.324709999999868160e-01,3.100000000000000089e+00,3.399999999999999911e+00
5.491029999999454958e-01,3.020000000000000018e+00,3.479999999999999982e+00
5.657959999999775391e-01,3.060000000000000053e+00,3.459999999999999964e+00
5.824589999999716383e-01,3.040000000000000036e+00,3.479999999999999982e+00
5.989990000000489090e-01,3.060000000000000053e+00,3.479999999999999982e+00
6.155700000000479122e-01,3.000000000000000000e+00,3.479999999999999982e+00
6.322629999999662687e-01,3.080000000000000071e+00,3.520000000000000018e+00
6.488950000000386353e-01,3.060000000000000053e+00,3.439999999999999947e+00
6.655580000000327345e-01,3.100000000000000089e+00,3.439999999999999947e+00
6.823120000000244545e-01,3.080000000000000071e+00,3.439999999999999947e+00
6.989139999999451902e-01,3.060000000000000053e+00,3.439999999999999947e+00
7.155759999999418142e-01,3.080000000000000071e+00,3.439999999999999947e+00
7.320859999999811407e-01,3.100000000000000089e+00,3.439999999999999947e+00
7.487489999999752399e-01,3.060000000000000053e+00,3.419999999999999929e+00
7.653500000000121872e-01,3.060000000000000053e+00,3.459999999999999964e+00
7.821350000000393266e-01,3.120000000000000107e+00,3.419999999999999929e+00
7.986150000000407090e-01,3.160000000000000142e+00,3.419999999999999929e+00
8.153690000000324289e-01,3.140000000000000124e+00,3.439999999999999947e+00
8.319400000000314321e-01,3.140000000000000124e+00,3.399999999999999911e+00
8.486329999999497886e-01,3.120000000000000107e+00,3.419999999999999929e+00
8.652339999999867359e-01,3.120000000000000107e+00,3.419999999999999929e+00
8.818969999999808351e-01,3.160000000000000142e+00,3.399999999999999911e+00
8.984990000000152577e-01,3.100000000000000089e+00,3.419999999999999929e+00
9.152830000000449218e-01,3.100000000000000089e+00,3.399999999999999911e+00
9.317320000000108848e-01,3.120000000000000107e+00,3.399999999999999911e+00
9.483639999999695647e-01,3.080000000000000071e+00,3.419999999999999929e+00
9.649960000000419313e-01,3.060000000000000053e+00,3.399999999999999911e+00
9.816889999999602878e-01,3.080000000000000071e+00,3.399999999999999911e+00
9.983829999999898064e-01,3.140000000000000124e+00,3.399999999999999911e+00
1.014984000000026754e+00,3.140000000000000124e+00,3.399999999999999911e+00
1.031585999999947489e+00,3.160000000000000142e+00,3.379999999999999893e+00
1.048218000000019856e+00,3.160000000000000142e+00,3.379999999999999893e+00
1.064880000000016480e+00,3.200000000000000178e+00,3.359999999999999876e+00
1.081543000000010579e+00,3.140000000000000124e+00,3.379999999999999893e+00
1.098114000000009582e+00,3.140000000000000124e+00,3.379999999999999893e+00
1.114745999999968262e+00,3.200000000000000178e+00,3.379999999999999893e+00
1.131348000000002685e+00,3.140000000000000124e+00,3.379999999999999893e+00
1.147979999999961365e+00,3.160000000000000142e+00,3.379999999999999893e+00
1.164733999999953085e+00,3.220000000000000195e+00,3.379999999999999893e+00
1.181366000000025451e+00,3.200000000000000178e+00,3.379999999999999893e+00
1.198029000000019550e+00,3.180000000000000160e+00,3.359999999999999876e+00
1.214629999999942811e+00,3.180000000000000160e+00,3.339999999999999858e+00
1.231384000000048218e+00,3.180000000000000160e+00,3.379999999999999893e+00
1.247864000000049600e+00,3.180000000000000160e+00,3.379999999999999893e+00
1.264464999999972861e+00,3.200000000000000178e+00,3.379999999999999893e+00
1.281981999999970867e+00,3.180000000000000160e+00,3.379999999999999893e+00
1.297820999999999003e+00,3.200000000000000178e+00,3.359999999999999876e+00
1.314483999999993102e+00,3.180000000000000160e+00,3.379999999999999893e+00
1.331177000000025146e+00,3.180000000000000160e+00,3.359999999999999876e+00
1.347748000000024149e+00,3.220000000000000195e+00,3.339999999999999858e+00
1.364348999999947409e+00,3.240000000000000213e+00,3.359999999999999876e+00
1.381011999999941509e+00,3.220000000000000195e+00,3.379999999999999893e+00
1.397644000000013875e+00,3.200000000000000178e+00,3.379999999999999893e+00
1.414246000000048298e+00,3.220000000000000195e+00,3.379999999999999893e+00
1.430938999999966654e+00,3.240000000000000213e+00,3.399999999999999911e+00
1.447600999999963278e+00,3.220000000000000195e+00,3.399999999999999911e+00
1.464142000000038024e+00,3.240000000000000213e+00,3.399999999999999911e+00
1.480956999999989421e+00,3.140000000000000124e+00,3.379999999999999893e+00
1.497497999999950480e+00,3.120000000000000107e+00,3.399999999999999911e+00
1.514130000000022847e+00,3.160000000000000142e+00,3.399999999999999911e+00
1.530852999999979147e+00,3.160000000000000142e+00,3.419999999999999929e+00
1.547455000000013570e+00,3.180000000000000160e+00,3.419999999999999929e+00
1.563994999999977153e+00,3.160000000000000142e+00,3.399999999999999911e+00
1.580657999999971253e+00,3.160000000000000142e+00,3.399999999999999911e+00
1.597320999999965352e+00,3.080000000000000071e+00,3.419999999999999929e+00
1.613831000000004678e+00,3.160000000000000142e+00,3.419999999999999929e+00
1.630462999999963358e+00,3.240000000000000213e+00,3.419999999999999929e+00
1.647399999999947795e+00,3.240000000000000213e+00,3.419999999999999929e+00
1.663849000000027445e+00,3.240000000000000213e+00,3.419999999999999929e+00
1.680511000000024069e+00,3.259999999999999787e+00,3.439999999999999947e+00
1.697143999999980224e+00,3.259999999999999787e+00,3.459999999999999964e+00
1.714263999999957377e+00,3.259999999999999787e+00,3.459999999999999964e+00
1.730376999999975851e+00,3.220000000000000195e+00,3.459999999999999964e+00
1.746979000000010274e+00,3.160000000000000142e+00,3.459999999999999964e+00
1.763580000000047221e+00,3.220000000000000195e+00,3.459999999999999964e+00
1.780334000000038941e+00,3.220000000000000195e+00,3.459999999999999964e+00
1.797057999999992717e+00,3.220000000000000195e+00,3.479999999999999982e+00
1.813568000000032043e+00,3.220000000000000195e+00,3.479999999999999982e+00
1.830231000000026143e+00,3.259999999999999787e+00,3.500000000000000000e+00
1.846893000000022766e+00,3.240000000000000213e+00,3.479999999999999982e+00
1.863494999999943502e+00,3.259999999999999787e+00,3.500000000000000000e+00
1.880279999999970642e+00,3.200000000000000178e+00,3.439999999999999947e+00
