time,right pupil diameter,left pupil diameter
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.660100000003694731e-02,5.459999999999999964e+00,4.540000000000000036e+00
3.323300000005247057e-02,5.459999999999999964e+00,4.639999999999999680e+00
5.001800000002276647e-02,5.440000000000000391e+00,4.740000000000000213e+00
6.661900000000287037e-02,5.480000000000000426e+00,4.759999999999999787e+00
8.322100000003729292e-02,4.740000000000000213e+00,4.719999999999999751e+00
9.982300000001487206e-02,4.360000000000000320e+00,4.799999999999999822e+00
1.164550000000303953e-01,5.459999999999999964e+00,4.759999999999999787e+00
1.331170000000270193e-01,5.519999999999999574e+00,4.759999999999999787e+00
1.497490000000425425e-01,5.440000000000000391e+00,4.780000000000000249e+00
1.663810000000012224e-01,5.280000000000000249e+00,4.740000000000000213e+00
1.830130000000167456e-01,5.440000000000000391e+00,4.759999999999999787e+00
1.996460000000297441e-01,5.200000000000000178e+00,4.759999999999999787e+00
2.164300000000025648e-01,5.179999999999999716e+00,4.799999999999999822e+00
2.330320000000369873e-01,5.200000000000000178e+00,4.799999999999999822e+00
2.496330000000170912e-01,5.280000000000000249e+00,4.780000000000000249e+00
2.662350000000515138e-01,4.759999999999999787e+00,4.780000000000000249e+00
2.828360000000316177e-01,4.599999999999999645e+00,4.780000000000000249e+00
2.994990000000257169e-01,5.400000000000000355e+00,4.740000000000000213e+00
3.161010000000032960e-01,5.459999999999999964e+00,4.780000000000000249e+00
3.327629999999999200e-01,5.360000000000000320e+00,4.759999999999999787e+00
3.493650000000343425e-01,5.459999999999999964e+00,4.759999999999999787e+00
3.661190000000260625e-01,5.480000000000000426e+00,4.740000000000000213e+00
3.827510000000415857e-01,5.480000000000000426e+00,4.759999999999999787e+00
3.993830000000002656e-01,5.200000000000000178e+00,4.700000000000000178e+00
4.159850000000346881e-01,5.139999999999999680e+00,4.740000000000000213e+00
4.326470000000313121e-01,5.099999999999999645e+00,4.780000000000000249e+00
4.492790000000468353e-01,5.540000000000000036e+00,4.719999999999999751e+00
4.658810000000244145e-01,5.500000000000000000e+00,4.740000000000000213e+00
4.824820000000045184e-01,5.559999999999999609e+00,4.719999999999999751e+00
4.991150000000175169e-01,5.500000000000000000e+00,4.759999999999999787e+00
5.157470000000330401e-01,5.519999999999999574e+00,4.679999999999999716e+00
5.325010000000247601e-01,4.820000000000000284e+00,4.700000000000000178e+00
5.491330000000402833e-01,4.580000000000000071e+00,4.639999999999999680e+00
5.657340000000203872e-01,4.879999999999999893e+00,4.660000000000000142e+00
5.823660000000359105e-01,5.580000000000000071e+00,4.660000000000000142e+00
5.989680000000134896e-01,5.519999999999999574e+00,4.580000000000000071e+00
6.156000000000290129e-01,4.879999999999999893e+00,4.580000000000000071e+00
6.322630000000231121e-01,4.959999999999999964e+00,4.559999999999999609e+00
6.488640000000032160e-01,4.419999999999999929e+00,4.599999999999999645e+00
6.654960000000187392e-01,4.200000000000000178e+00,4.440000000000000391e+00
6.822200000000293585e-01,4.139999999999999680e+00,4.639999999999999680e+00
6.988830000000234577e-01,4.080000000000000071e+00,4.580000000000000071e+00
7.155450000000200816e-01,4.040000000000000036e+00,4.580000000000000071e+00
7.321770000000356049e-01,4.219999999999999751e+00,4.660000000000000142e+00
7.487480000000346081e-01,4.339999999999999858e+00,4.580000000000000071e+00
7.653800000000501313e-01,4.400000000000000355e+00,4.620000000000000107e+00
7.819820000000277105e-01,4.379999999999999893e+00,4.660000000000000142e+00
7.986140000000432337e-01,4.419999999999999929e+00,4.759999999999999787e+00
8.152160000000208129e-01,4.419999999999999929e+00,4.759999999999999787e+00
8.318780000000174368e-01,4.419999999999999929e+00,4.799999999999999822e+00
8.486320000000091568e-01,4.440000000000000391e+00,4.759999999999999787e+00
8.652340000000435793e-01,4.419999999999999929e+00,4.740000000000000213e+00
8.818350000000236832e-01,4.379999999999999893e+00,4.700000000000000178e+00
8.984980000000177824e-01,4.379999999999999893e+00,4.660000000000000142e+00
9.151300000000333057e-01,4.339999999999999858e+00,4.620000000000000107e+00
9.317930000000274049e-01,4.360000000000000320e+00,4.599999999999999645e+00
9.483940000000075088e-01,4.339999999999999858e+00,4.599999999999999645e+00
9.649960000000419313e-01,4.160000000000000142e+00,4.400000000000000355e+00
9.815970000000220352e-01,3.799999999999999822e+00,4.240000000000000213e+00
9.982600000000161344e-01,4.259999999999999787e+00,4.200000000000000178e+00
1.014984000000026754e+00,4.299999999999999822e+00,4.219999999999999751e+00
1.031646000000023378e+00,4.139999999999999680e+00,4.099999999999999645e+00
1.048278000000038901e+00,4.419999999999999929e+00,4.179999999999999716e+00
1.064880000000016480e+00,4.580000000000000071e+00,4.120000000000000107e+00
1.081481000000053427e+00,4.599999999999999645e+00,4.200000000000000178e+00
1.098114000000009582e+00,4.679999999999999716e+00,4.179999999999999716e+00
1.114746000000025106e+00,4.900000000000000355e+00,4.179999999999999716e+00
1.131529999999997926e+00,4.879999999999999893e+00,4.179999999999999716e+00
1.148009999999999309e+00,4.860000000000000320e+00,4.179999999999999716e+00
1.164764000000047872e+00,4.620000000000000107e+00,4.160000000000000142e+00
1.181365000000027976e+00,4.639999999999999680e+00,4.179999999999999716e+00
1.198028000000022075e+00,4.540000000000000036e+00,4.200000000000000178e+00
1.214660000000037599e+00,4.459999999999999964e+00,4.179999999999999716e+00
1.231323000000031698e+00,4.459999999999999964e+00,4.219999999999999751e+00
1.247924000000011802e+00,4.440000000000000391e+00,4.240000000000000213e+00
1.264495000000010805e+00,4.379999999999999893e+00,4.259999999999999787e+00
1.281097000000045227e+00,4.379999999999999893e+00,4.259999999999999787e+00
1.297729000000003907e+00,4.360000000000000320e+00,4.259999999999999787e+00
1.314361000000019430e+00,4.419999999999999929e+00,4.360000000000000320e+00
1.331176000000027670e+00,4.440000000000000391e+00,4.379999999999999893e+00
1.347778000000005250e+00,4.419999999999999929e+00,4.400000000000000355e+00
1.364349000000004253e+00,4.480000000000000426e+00,4.400000000000000355e+00
1.381011000000000877e+00,4.480000000000000426e+00,4.400000000000000355e+00
1.397613000000035299e+00,4.419999999999999929e+00,4.419999999999999929e+00
1.414245000000050823e+00,4.519999999999999574e+00,4.440000000000000391e+00
1.430908000000044922e+00,4.519999999999999574e+00,4.440000000000000391e+00
1.447509000000025026e+00,4.559999999999999609e+00,4.440000000000000391e+00
1.464111000000002605e+00,4.500000000000000000e+00,4.459999999999999964e+00
1.480743000000018128e+00,4.599999999999999645e+00,4.480000000000000426e+00
1.497467000000028747e+00,4.599999999999999645e+00,4.519999999999999574e+00
1.514129000000025371e+00,4.360000000000000320e+00,4.419999999999999929e+00
1.530761000000040895e+00,4.320000000000000284e+00,4.360000000000000320e+00
1.547363000000018474e+00,4.400000000000000355e+00,4.559999999999999609e+00
1.563995000000033997e+00,4.419999999999999929e+00,4.599999999999999645e+00
1.580627000000049520e+00,4.500000000000000000e+00,4.599999999999999645e+00
1.597229000000027099e+00,4.559999999999999609e+00,4.599999999999999645e+00
1.613861000000042623e+00,4.559999999999999609e+00,4.580000000000000071e+00
1.630554000000017822e+00,4.599999999999999645e+00,4.620000000000000107e+00
1.647125000000016826e+00,4.599999999999999645e+00,4.599999999999999645e+00
1.663848000000029970e+00,4.580000000000000071e+00,4.599999999999999645e+00
1.680511000000024069e+00,4.620000000000000107e+00,4.599999999999999645e+00
1.697143000000039592e+00,4.620000000000000107e+00,4.639999999999999680e+00
1.713806000000033691e+00,4.620000000000000107e+00,4.660000000000000142e+00
1.730377000000032695e+00,4.620000000000000107e+00,4.639999999999999680e+00
1.747039000000029318e+00,4.639999999999999680e+00,4.660000000000000142e+00
1.763610000000028322e+00,4.639999999999999680e+00,4.599999999999999645e+00
1.780273000000022421e+00,4.620000000000000107e+00,4.639999999999999680e+00
1.796875000000000000e+00,4.620000000000000107e+00,4.620000000000000107e+00
1.813629000000048563e+00,4.620000000000000107e+00,4.599999999999999645e+00
1.830230000000028667e+00,4.639999999999999680e+00,4.599999999999999645e+00
1.846954000000039287e+00,4.639999999999999680e+00,4.620000000000000107e+00
1.863525000000038290e+00,4.639999999999999680e+00,4.660000000000000142e+00
1.880096000000037293e+00,4.620000000000000107e+00,4.639999999999999680e+00
1.896759000000031392e+00,4.660000000000000142e+00,4.620000000000000107e+00
1.913360000000011496e+00,4.639999999999999680e+00,4.639999999999999680e+00
1.929992000000027019e+00,4.620000000000000107e+00,4.639999999999999680e+00
1.946624000000042543e+00,4.660000000000000142e+00,4.660000000000000142e+00
1.963287000000036642e+00,4.599999999999999645e+00,4.620000000000000107e+00
1.979980000000011842e+00,4.660000000000000142e+00,4.639999999999999680e+00
1.996612000000027365e+00,4.599999999999999645e+00,4.559999999999999609e+00
2.013244000000042888e+00,4.620000000000000107e+00,4.620000000000000107e+00
2.029846000000020467e+00,4.620000000000000107e+00,4.639999999999999680e+00
2.046569000000033611e+00,4.700000000000000178e+00,4.639999999999999680e+00
2.063140000000032614e+00,4.719999999999999751e+00,4.639999999999999680e+00
