time,right pupil diameter,left pupil diameter
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.654099999998948078e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.317300000000500404e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.980499999999210559e-02,1.879999999999999893e+00,0.000000000000000000e+00
6.643700000000762884e-02,2.640000000000000124e+00,0.000000000000000000e+00
8.312999999998282874e-02,2.700000000000000178e+00,4.000000000000000000e+00
9.963999999999373358e-02,2.740000000000000213e+00,3.000000000000000000e+00
1.163029999999878328e-01,2.879999999999999893e+00,3.040000000000000036e+00
1.329350000000033560e-01,2.899999999999999911e+00,3.180000000000000160e+00
1.495060000000023592e-01,2.919999999999999929e+00,3.220000000000000195e+00
1.663209999999821775e-01,3.120000000000000107e+00,3.160000000000000142e+00
1.829830000000072232e-01,3.339999999999999858e+00,3.200000000000000178e+00
1.995239999999967040e-01,3.419999999999999929e+00,3.259999999999999787e+00
2.161260000000027048e-01,3.540000000000000036e+00,3.379999999999999893e+00
2.328489999999874271e-01,3.459999999999999964e+00,3.399999999999999911e+00
2.494509999999934280e-01,3.379999999999999893e+00,3.399999999999999911e+00
2.661129999999900519e-01,3.419999999999999929e+00,3.259999999999999787e+00
2.828669999999817719e-01,0.000000000000000000e+00,2.859999999999999876e+00
2.993469999999831543e-01,4.000000000000000000e+00,0.000000000000000000e+00
3.159789999999986776e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.327030000000092969e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.493349999999963984e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.659969999999930224e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.825989999999990232e-01,0.000000000000000000e+00,4.000000000000000000e+00
3.992309999999861247e-01,3.299999999999999822e+00,3.060000000000000053e+00
4.158019999999851279e-01,3.819999999999999840e+00,3.600000000000000089e+00
4.325869999999838456e-01,3.620000000000000107e+00,3.759999999999999787e+00
4.490969999999947504e-01,3.640000000000000124e+00,3.700000000000000178e+00
4.657589999999913744e-01,3.479999999999999982e+00,3.680000000000000160e+00
4.825439999999900920e-01,3.600000000000000089e+00,3.720000000000000195e+00
4.991459999999960928e-01,3.540000000000000036e+00,3.720000000000000195e+00
5.157169999999950960e-01,3.520000000000000018e+00,3.680000000000000160e+00
5.324099999999987176e-01,3.580000000000000071e+00,3.660000000000000142e+00
5.489499999999907232e-01,3.560000000000000053e+00,3.640000000000000124e+00
5.655820000000062464e-01,3.779999999999999805e+00,3.620000000000000107e+00
5.822450000000003456e-01,3.779999999999999805e+00,3.640000000000000124e+00
5.989689999999825432e-01,3.700000000000000178e+00,3.660000000000000142e+00
6.154479999999864503e-01,3.799999999999999822e+00,3.640000000000000124e+00
6.321110000000089713e-01,3.720000000000000195e+00,3.620000000000000107e+00
6.488339999999936936e-01,3.740000000000000213e+00,3.680000000000000160e+00
6.654660000000092168e-01,3.700000000000000178e+00,3.660000000000000142e+00
6.820679999999867960e-01,3.660000000000000142e+00,3.680000000000000160e+00
6.988529999999855136e-01,3.740000000000000213e+00,3.640000000000000124e+00
7.153319999999894208e-01,3.660000000000000142e+00,3.620000000000000107e+00
7.320560000000000400e-01,3.700000000000000178e+00,3.600000000000000089e+00
7.485659999999825231e-01,3.700000000000000178e+00,3.640000000000000124e+00
7.651979999999980464e-01,3.700000000000000178e+00,3.620000000000000107e+00
7.819209999999827687e-01,3.640000000000000124e+00,3.620000000000000107e+00
7.986149999999838656e-01,3.680000000000000160e+00,3.600000000000000089e+00
8.151859999999828688e-01,3.660000000000000142e+00,3.600000000000000089e+00
8.319089999999960128e-01,3.620000000000000107e+00,3.600000000000000089e+00
8.484499999999854936e-01,3.600000000000000089e+00,3.620000000000000107e+00
8.651429999999891152e-01,3.600000000000000089e+00,3.560000000000000053e+00
8.817439999999976408e-01,3.600000000000000089e+00,3.600000000000000089e+00
8.983460000000036416e-01,3.580000000000000071e+00,3.600000000000000089e+00
9.150999999999953616e-01,3.600000000000000089e+00,3.600000000000000089e+00
9.316409999999848424e-01,3.540000000000000036e+00,3.580000000000000071e+00
9.482419999999933680e-01,3.520000000000000018e+00,3.500000000000000000e+00
9.649660000000039872e-01,3.459999999999999964e+00,3.500000000000000000e+00
9.815979999999910888e-01,3.520000000000000018e+00,3.439999999999999947e+00
9.982300000000066120e-01,3.419999999999999929e+00,3.419999999999999929e+00
1.015044999999986430e+00,3.439999999999999947e+00,3.439999999999999947e+00
1.031432999999992717e+00,3.479999999999999982e+00,3.540000000000000036e+00
1.048095999999986816e+00,3.700000000000000178e+00,3.600000000000000089e+00
1.064728000000002339e+00,3.640000000000000124e+00,3.259999999999999787e+00
1.081328999999982443e+00,3.160000000000000142e+00,0.000000000000000000e+00
1.097992000000004964e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.114837999999991780e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.131348000000002685e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.147948999999982789e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.164550999999988790e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.181212999999985414e+00,2.979999999999999982e+00,0.000000000000000000e+00
1.197845000000000937e+00,3.240000000000000213e+00,3.080000000000000071e+00
1.214447000000006938e+00,3.439999999999999947e+00,3.120000000000000107e+00
1.231170999999989135e+00,3.640000000000000124e+00,3.279999999999999805e+00
1.247771999999997661e+00,3.740000000000000213e+00,3.399999999999999911e+00
1.264434999999991760e+00,3.779999999999999805e+00,3.500000000000000000e+00
1.280974999999983766e+00,3.799999999999999822e+00,3.560000000000000053e+00
1.297730000000001382e+00,3.640000000000000124e+00,3.560000000000000053e+00
1.314361999999988484e+00,3.680000000000000160e+00,3.560000000000000053e+00
1.331054999999992106e+00,3.759999999999999787e+00,3.540000000000000036e+00
1.347594999999984111e+00,3.720000000000000195e+00,3.560000000000000053e+00
1.364226999999999634e+00,3.720000000000000195e+00,3.479999999999999982e+00
1.380858999999986736e+00,3.680000000000000160e+00,3.439999999999999947e+00
1.397582999999997355e+00,3.640000000000000124e+00,3.479999999999999982e+00
