time,right pupil diameter,left pupil diameter
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.660100000003694731e-02,4.919999999999999929e+00,4.179999999999999716e+00
3.317200000003595051e-02,5.000000000000000000e+00,4.040000000000000036e+00
4.986600000000862565e-02,5.120000000000000107e+00,2.379999999999999893e+00
6.643700000000762884e-02,5.059999999999999609e+00,2.319999999999999840e+00
8.306900000002315210e-02,5.139999999999999680e+00,2.419999999999999929e+00
9.967000000000325599e-02,5.179999999999999716e+00,3.859999999999999876e+00
1.163020000000187792e-01,4.740000000000000213e+00,4.240000000000000213e+00
1.330260000000293985e-01,4.839999999999999858e+00,4.000000000000000000e+00
1.497500000000400178e-01,4.820000000000000284e+00,4.339999999999999858e+00
1.662900000000036016e-01,4.900000000000000355e+00,4.059999999999999609e+00
1.829529999999977008e-01,4.980000000000000426e+00,4.419999999999999929e+00
1.995540000000346481e-01,4.900000000000000355e+00,4.240000000000000213e+00
2.162470000000098480e-01,4.860000000000000320e+00,4.099999999999999645e+00
2.328180000000088512e-01,4.860000000000000320e+00,4.540000000000000036e+00
2.495120000000383698e-01,4.839999999999999858e+00,4.500000000000000000e+00
2.661439999999970496e-01,4.959999999999999964e+00,4.440000000000000391e+00
2.826540000000363762e-01,4.799999999999999822e+00,4.580000000000000071e+00
2.994380000000091968e-01,4.799999999999999822e+00,4.519999999999999574e+00
3.160399999999867759e-01,4.679999999999999716e+00,4.320000000000000284e+00
3.326720000000022992e-01,4.780000000000000249e+00,4.639999999999999680e+00
3.493960000000129185e-01,4.780000000000000249e+00,4.639999999999999680e+00
3.660280000000284417e-01,4.740000000000000213e+00,4.759999999999999787e+00
3.825679999999920256e-01,4.780000000000000249e+00,4.780000000000000249e+00
3.991389999999910287e-01,5.240000000000000213e+00,4.700000000000000178e+00
4.158020000000419714e-01,5.219999999999999751e+00,4.400000000000000355e+00
4.324340000000006512e-01,5.360000000000000320e+00,4.719999999999999751e+00
4.492490000000088912e-01,4.339999999999999858e+00,4.799999999999999822e+00
4.658509999999864704e-01,4.519999999999999574e+00,4.919999999999999929e+00
4.824520000000234177e-01,4.559999999999999609e+00,5.040000000000000036e+00
4.990540000000009968e-01,4.259999999999999787e+00,4.959999999999999964e+00
5.156860000000165201e-01,4.240000000000000213e+00,4.519999999999999574e+00
5.322869999999966240e-01,4.339999999999999858e+00,5.019999999999999574e+00
5.490110000000072432e-01,4.339999999999999858e+00,5.080000000000000071e+00
5.655520000000251457e-01,4.379999999999999893e+00,4.240000000000000213e+00
5.821840000000406690e-01,4.879999999999999893e+00,4.219999999999999751e+00
5.989680000000134896e-01,4.459999999999999964e+00,4.240000000000000213e+00
6.155390000000124928e-01,5.080000000000000071e+00,4.280000000000000249e+00
6.322020000000065920e-01,4.700000000000000178e+00,4.980000000000000426e+00
6.488340000000221153e-01,5.320000000000000284e+00,0.000000000000000000e+00
6.654660000000376385e-01,4.639999999999999680e+00,5.019999999999999574e+00
6.821899999999914144e-01,4.620000000000000107e+00,5.080000000000000071e+00
6.987000000000307409e-01,4.500000000000000000e+00,5.059999999999999609e+00
7.153620000000273649e-01,4.459999999999999964e+00,4.580000000000000071e+00
7.319640000000049440e-01,4.559999999999999609e+00,5.179999999999999716e+00
7.485650000000418913e-01,4.559999999999999609e+00,5.200000000000000178e+00
7.651979999999980464e-01,4.580000000000000071e+00,5.280000000000000249e+00
7.820429999999873871e-01,4.620000000000000107e+00,5.240000000000000213e+00
7.985229999999887696e-01,4.459999999999999964e+00,5.299999999999999822e+00
8.151850000000422369e-01,4.419999999999999929e+00,4.639999999999999680e+00
8.318170000000009168e-01,4.419999999999999929e+00,5.160000000000000142e+00
8.484799999999950160e-01,4.400000000000000355e+00,4.980000000000000426e+00
8.650820000000294385e-01,4.419999999999999929e+00,5.019999999999999574e+00
8.817139999999881184e-01,4.759999999999999787e+00,4.820000000000000284e+00
8.982849999999871216e-01,4.599999999999999645e+00,4.839999999999999858e+00
9.149470000000405889e-01,4.620000000000000107e+00,4.419999999999999929e+00
9.316709999999943648e-01,4.660000000000000142e+00,4.839999999999999858e+00
9.483339999999884640e-01,4.200000000000000178e+00,4.839999999999999858e+00
9.649660000000039872e-01,4.719999999999999751e+00,4.839999999999999858e+00
9.815670000000409345e-01,4.759999999999999787e+00,4.820000000000000284e+00
9.981380000000399377e-01,4.839999999999999858e+00,4.839999999999999858e+00
1.014831000000015138e+00,4.820000000000000284e+00,4.839999999999999858e+00
1.031463000000030661e+00,5.780000000000000249e+00,4.839999999999999858e+00
1.048094999999989341e+00,6.400000000000000355e+00,4.839999999999999858e+00
1.064728000000002339e+00,4.419999999999999929e+00,4.860000000000000320e+00
1.081360000000017862e+00,4.719999999999999751e+00,4.839999999999999858e+00
1.098175000000026102e+00,4.679999999999999716e+00,4.839999999999999858e+00
1.114714999999989686e+00,4.940000000000000391e+00,4.519999999999999574e+00
1.131317000000024109e+00,5.000000000000000000e+00,4.900000000000000355e+00
1.148041000000034728e+00,4.839999999999999858e+00,4.879999999999999893e+00
1.164580999999998312e+00,4.700000000000000178e+00,4.900000000000000355e+00
1.181243999999992411e+00,4.799999999999999822e+00,4.900000000000000355e+00
1.197876000000007934e+00,5.040000000000000036e+00,4.919999999999999929e+00
1.214508000000023458e+00,5.080000000000000071e+00,4.519999999999999574e+00
1.231109000000003562e+00,5.000000000000000000e+00,4.900000000000000355e+00
1.247863999999992757e+00,4.860000000000000320e+00,4.879999999999999893e+00
1.264465000000029704e+00,4.879999999999999893e+00,4.900000000000000355e+00
1.281096999999988384e+00,4.919999999999999929e+00,4.900000000000000355e+00
1.297699000000022806e+00,5.339999999999999858e+00,5.000000000000000000e+00
1.314300000000002910e+00,5.299999999999999822e+00,4.639999999999999680e+00
1.330993000000034954e+00,5.360000000000000320e+00,4.900000000000000355e+00
1.347625999999991109e+00,5.099999999999999645e+00,4.900000000000000355e+00
1.364227000000028056e+00,4.919999999999999929e+00,4.900000000000000355e+00
1.380858999999986736e+00,5.099999999999999645e+00,4.879999999999999893e+00
1.397429999999985739e+00,5.299999999999999822e+00,4.540000000000000036e+00
