time,x,y
0.000000000000000000e+00,5.100208333333333677e-01,5.732500000000000373e-01
1.663199999998710155e-02,5.552708333333332691e-01,7.190277777777778212e-01
3.332499999999072315e-02,8.136875000000000080e-01,4.452499999999999236e-01
5.001799999999434476e-02,7.623020833333332691e-01,5.338333333333333819e-01
6.664999999998144631e-02,7.461041666666666794e-01,5.713611111111110974e-01
8.334299999998506792e-02,7.568645833333333961e-01,5.950833333333332975e-01
9.997500000000059117e-02,7.602187499999999432e-01,6.169861111111111240e-01
1.165159999999900720e-01,7.573645833333333410e-01,6.247916666666666341e-01
1.333309999999983120e-01,7.531770833333333304e-01,6.378333333333333632e-01
1.497799999999926968e-01,7.511770833333333286e-01,6.442916666666667069e-01
1.664419999999893207e-01,7.535937500000000622e-01,6.436111111111111338e-01
1.831049999999834199e-01,7.561458333333332948e-01,6.396388888888888680e-01
1.996149999999943248e-01,7.518229166666666741e-01,6.488472222222221308e-01
2.163079999999979464e-01,7.488749999999999574e-01,6.563888888888889106e-01
2.330619999999896663e-01,7.506354166666666661e-01,6.518888888888889621e-01
2.496029999999791471e-01,7.501458333333332895e-01,6.570694444444444837e-01
2.662039999999876727e-01,7.492812499999998987e-01,6.580138888888888982e-01
2.829279999999982920e-01,7.496041666666666270e-01,6.587777777777777954e-01
2.994989999999972952e-01,7.469166666666666732e-01,6.655972222222221735e-01
3.160699999999962984e-01,7.462708333333333277e-01,6.680138888888889070e-01
3.327019999999833999e-01,7.457083333333333064e-01,6.699861111111111711e-01
3.494869999999821175e-01,7.453229166666666128e-01,6.685416666666665897e-01
3.659659999999860247e-01,7.438854166666666323e-01,6.739305555555554772e-01
3.828120000000012624e-01,7.367083333333332984e-01,6.623611111111111782e-01
3.994749999999953616e-01,7.087708333333332389e-01,6.520555555555556104e-01
4.160149999999873671e-01,7.031145833333333206e-01,6.450833333333333419e-01
4.326169999999933680e-01,7.045520833333333011e-01,6.422499999999999876e-01
4.493399999999780903e-01,7.060729166666667167e-01,6.385555555555555429e-01
4.658499999999889951e-01,7.060937500000000755e-01,6.455555555555555491e-01
4.825429999999926167e-01,7.067395833333333099e-01,6.422916666666667052e-01
4.990839999999820975e-01,7.075624999999999831e-01,6.444861111111110930e-01
5.156859999999880984e-01,7.062604166666666128e-01,6.455694444444444180e-01
5.323180000000036216e-01,7.067395833333333099e-01,6.449166666666666936e-01
5.493160000000045784e-01,7.068124999999999547e-01,6.449583333333333002e-01
5.657039999999824431e-01,7.081979166666666492e-01,6.411249999999999449e-01
5.824889999999811607e-01,7.094374999999999432e-01,6.398611111111111027e-01
5.990599999999801639e-01,7.094479166666667336e-01,6.407916666666666483e-01
6.155699999999910688e-01,7.074374999999999414e-01,6.470416666666667371e-01
6.322019999999781703e-01,7.106562499999999893e-01,6.374166666666667425e-01
6.488640000000032160e-01,7.045833333333333393e-01,6.503611111111111676e-01
6.655569999999784159e-01,7.041458333333333597e-01,6.523055555555554719e-01
6.822509999999795127e-01,7.078020833333333872e-01,6.472083333333333854e-01
6.988519999999880383e-01,7.058854166666665986e-01,6.490000000000000213e-01
7.154539999999940392e-01,7.065416666666666234e-01,6.504166666666666430e-01
7.321159999999906631e-01,7.066770833333333446e-01,6.477777777777777857e-01
7.487179999999966640e-01,7.050937499999999636e-01,6.509305555555555678e-01
7.654110000000002856e-01,7.049999999999999600e-01,6.538888888888889639e-01
7.821040000000039072e-01,7.051770833333333988e-01,6.518749999999999822e-01
7.985840000000052896e-01,7.045624999999999805e-01,6.558472222222222481e-01
8.151849999999853935e-01,7.038645833333333490e-01,6.570694444444444837e-01
8.318779999999890151e-01,7.055000000000000160e-01,6.520694444444444793e-01
8.485100000000045384e-01,7.058958333333332780e-01,6.532638888888888662e-01
8.652950000000032560e-01,7.073437499999999378e-01,6.495694444444444215e-01
8.818349999999952615e-01,7.099791666666667167e-01,6.532638888888888662e-01
8.985899999999844567e-01,7.187604166666666794e-01,6.511805555555555403e-01
9.151909999999929823e-01,7.207395833333333224e-01,6.480555555555556069e-01
9.317010000000038872e-01,7.218125000000000790e-01,6.479444444444444340e-01
9.483939999999790871e-01,7.233229166666667043e-01,6.483333333333334281e-01
9.650869999999827087e-01,7.236458333333334325e-01,6.545138888888888395e-01
9.819029999999884240e-01,7.226770833333333588e-01,6.530277777777777626e-01
9.983210000000042328e-01,7.237187499999999662e-01,6.524583333333333623e-01
1.014830999999986716e+00,7.249375000000000124e-01,6.521527777777778034e-01
1.031706999999983054e+00,7.246354166666666430e-01,6.540833333333333499e-01
1.048277999999982057e+00,7.243125000000000258e-01,6.556805555555555998e-01
1.064879999999988058e+00,7.254583333333334272e-01,6.553194444444444544e-01
1.081664999999986776e+00,7.261874999999999858e-01,6.545694444444444260e-01
1.098204999999978781e+00,7.258437499999998987e-01,6.574027777777777803e-01
1.114836999999994305e+00,7.289375000000000160e-01,6.528194444444443967e-01
1.131439000000000306e+00,7.301979166666666687e-01,6.516666666666666163e-01
1.148070999999987407e+00,7.289999999999999813e-01,6.547499999999999432e-01
1.164703000000002930e+00,7.312187500000000284e-01,6.568472222222222490e-01
1.181517999999982749e+00,7.334375000000000755e-01,6.566666666666667318e-01
1.197997999999984131e+00,7.339895833333333064e-01,6.597222222222222099e-01
1.214629999999999654e+00,7.351041666666666696e-01,6.596111111111111480e-01
1.231261999999986756e+00,7.365520833333333295e-01,6.549444444444444402e-01
1.247894000000002279e+00,7.374583333333333268e-01,6.594166666666666510e-01
1.264525999999989381e+00,7.378854166666666270e-01,6.568749999999999867e-01
1.281463000000002239e+00,7.383020833333333588e-01,6.592500000000000027e-01
1.297759999999982483e+00,7.430520833333333908e-01,6.593611111111110645e-01
1.314360999999991009e+00,7.448333333333333472e-01,6.602638888888888724e-01
1.330962999999997010e+00,7.462604166666666483e-01,6.638333333333332753e-01
1.347778000000005250e+00,7.486666666666667025e-01,6.603888888888889142e-01
1.364349000000004253e+00,7.513958333333333739e-01,6.578611111111111187e-01
1.381225000000000591e+00,7.522291666666666154e-01,6.605972222222222801e-01
1.397705000000001974e+00,7.769791666666666652e-01,6.437222222222223067e-01
1.414276000000000977e+00,7.844062499999999716e-01,6.532083333333333908e-01
1.430876999999981081e+00,7.965208333333333446e-01,6.399166666666666892e-01
1.447478999999987082e+00,8.027291666666667158e-01,6.264027777777777528e-01
1.464202000000000226e+00,7.805312499999998987e-01,6.648055555555555385e-01
1.480834999999984802e+00,7.841979166666667167e-01,6.566944444444444695e-01
1.497557999999997946e+00,8.067708333333333259e-01,6.394999999999999574e-01
1.514189999999985048e+00,8.070312499999999778e-01,6.321388888888888058e-01
1.530731000000002950e+00,8.079166666666667274e-01,6.324999999999999512e-01
1.547392999999999574e+00,7.991354166666666536e-01,6.518472222222222445e-01
1.564055999999993674e+00,7.937187500000000284e-01,6.543472222222221912e-01
1.580718999999987773e+00,7.973229166666666590e-01,6.507083333333333330e-01
1.597380999999984397e+00,7.907395833333333846e-01,6.589305555555555749e-01
1.613829999999978781e+00,7.912916666666666154e-01,6.609583333333333144e-01
1.630461999999994305e+00,7.914791666666667336e-01,6.565694444444444278e-01
1.647093999999981406e+00,7.917604166666667442e-01,6.605972222222222801e-01
1.663878999999980124e+00,7.921666666666666856e-01,6.585694444444444295e-01
1.680510999999995647e+00,7.926979166666666687e-01,6.594722222222222374e-01
1.697295999999994365e+00,7.928854166666666758e-01,6.596805555555556033e-01
1.713744999999988750e+00,7.928229166666667105e-01,6.638194444444444065e-01
1.730377000000004273e+00,7.934895833333333037e-01,6.598611111111111205e-01
1.747008999999991374e+00,7.929479166666666412e-01,6.609444444444444455e-01
1.763579999999990378e+00,7.927708333333333135e-01,6.630277777777777715e-01
