time,right pupil diameter,left pupil diameter
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
1.653999999996358383e-02,5.339999999999999858e+00,5.360000000000000320e+00
3.320299999995768303e-02,5.360000000000000320e+00,5.019999999999999574e+00
4.983499999997320629e-02,5.500000000000000000e+00,4.860000000000000320e+00
6.649799999996730548e-02,5.480000000000000426e+00,4.839999999999999858e+00
8.306899999996630868e-02,7.019999999999999574e+00,5.240000000000000213e+00
9.982299999995802864e-02,6.559999999999999609e+00,5.000000000000000000e+00
1.164239999999949760e-01,6.299999999999999822e+00,5.519999999999999574e+00
1.330869999999890751e-01,7.019999999999999574e+00,5.000000000000000000e+00
1.497189999999477550e-01,6.519999999999999574e+00,5.059999999999999609e+00
1.663819999999986976e-01,0.000000000000000000e+00,3.919999999999999929e+00
1.829529999999977008e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.995849999999563806e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.161859999999933279e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.328489999999874271e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.496029999999791471e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.662659999999732463e-01,0.000000000000000000e+00,2.859999999999999876e+00
2.828369999999722495e-01,3.700000000000000178e+00,4.099999999999999645e+00
2.994379999999523534e-01,3.799999999999999822e+00,0.000000000000000000e+00
3.160399999999867759e-01,0.000000000000000000e+00,4.940000000000000391e+00
3.327329999999619758e-01,0.000000000000000000e+00,4.540000000000000036e+00
3.493339999999989232e-01,3.959999999999999964e+00,4.219999999999999751e+00
3.660279999999715983e-01,4.580000000000000071e+00,4.120000000000000107e+00
3.825679999999920256e-01,4.459999999999999964e+00,4.480000000000000426e+00
3.991999999999507054e-01,0.000000000000000000e+00,3.740000000000000213e+00
4.159239999999613246e-01,4.780000000000000249e+00,4.379999999999999893e+00
4.325859999999579486e-01,4.860000000000000320e+00,4.240000000000000213e+00
4.492179999999734719e-01,5.820000000000000284e+00,4.639999999999999680e+00
4.659119999999461470e-01,5.639999999999999680e+00,4.900000000000000355e+00
