time,x,y
0.000000000000000000e+00,4.708333333333333259e-01,2.255138888888889026e-01
1.660100000003694731e-02,4.928958333333333663e-01,2.147361111111111276e-01
3.323299999999562715e-02,5.024270833333333020e-01,3.907777777777777795e-01
4.992600000002767047e-02,5.076666666666667105e-01,4.324305555555555403e-01
6.652800000006209302e-02,5.103645833333333437e-01,4.569166666666666377e-01
8.325200000001586886e-02,5.124374999999999902e-01,4.675555555555555021e-01
9.988399999997454870e-02,5.147916666666666474e-01,4.778472222222222010e-01
1.164850000000114960e-01,5.175729166666667158e-01,4.856805555555555598e-01
1.331169999999701758e-01,5.196250000000000036e-01,4.920416666666665995e-01
1.497190000000045984e-01,5.205937499999999662e-01,4.962777777777778176e-01
1.663200000000415457e-01,5.233020833333333899e-01,4.992083333333333650e-01
1.829520000000002256e-01,5.249270833333333774e-01,5.028749999999999609e-01
1.996149999999943248e-01,5.270104166666667034e-01,5.045694444444444038e-01
2.161859999999933279e-01,5.301250000000000684e-01,5.084305555555554967e-01
2.327569999999923311e-01,5.328229166666667016e-01,5.083611111111110414e-01
2.494810000000597938e-01,5.334895833333332948e-01,5.102638888888888502e-01
2.662649999999757711e-01,5.351145833333333934e-01,5.112916666666666998e-01
2.828670000000101936e-01,5.376562499999999467e-01,5.143611111111110468e-01
2.996520000000373329e-01,5.408124999999999183e-01,5.182638888888888573e-01
3.161010000000032960e-01,5.424791666666666234e-01,5.161111111111111871e-01
3.327330000000756627e-01,5.440625000000000044e-01,5.175138888888888289e-01
3.493339999999989232e-01,5.470624999999998961e-01,5.230555555555556069e-01
3.659969999999930224e-01,5.673020833333333179e-01,5.626249999999999307e-01
3.825679999999920256e-01,6.018854166666666172e-01,6.258888888888889390e-01
3.992610000000240689e-01,6.078020833333332984e-01,6.296249999999999902e-01
4.159540000000561122e-01,6.096666666666666901e-01,6.317361111111111649e-01
4.325860000000147920e-01,6.144999999999999352e-01,6.359166666666666856e-01
4.491570000000137952e-01,6.182812500000000044e-01,6.404861111111110894e-01
4.658500000000458385e-01,6.221666666666666456e-01,6.433333333333333126e-01
4.824519999999665743e-01,6.235416666666666607e-01,6.435138888888889408e-01
4.991449999999986176e-01,6.258229166666666732e-01,6.480138888888888893e-01
5.157159999999976208e-01,6.312499999999999778e-01,6.515694444444444233e-01
5.323480000000699874e-01,6.322395833333334103e-01,6.549722222222222889e-01
5.489190000000689906e-01,6.353333333333333055e-01,6.563194444444444553e-01
5.656119999999873471e-01,6.400000000000000133e-01,6.626527777777777573e-01
5.823970000000144864e-01,6.414895833333333908e-01,6.637777777777777999e-01
5.989990000000489090e-01,6.268854166666666394e-01,5.839583333333333570e-01
6.156919999999672655e-01,5.964583333333333126e-01,3.807916666666666394e-01
6.322320000000445361e-01,5.631249999999999867e-01,1.805694444444444491e-01
6.488030000000435393e-01,5.415416666666666989e-01,1.841666666666663676e-02
6.654960000000755826e-01,5.298020833333333401e-01,-8.823611111111118177e-02
6.820979999999963184e-01,5.276666666666666172e-01,-9.765277777777781054e-02
6.987300000000686850e-01,5.296770833333332984e-01,-7.522222222222207932e-02
7.153319999999894208e-01,5.339583333333333126e-01,-5.326388888888899942e-02
7.320859999999811407e-01,5.389479166666666377e-01,-1.908333333333334103e-02
7.487479999999777647e-01,5.433437500000000142e-01,3.902777777777699519e-03
7.653500000000121872e-01,5.492604166666665844e-01,3.187500000000009770e-02
7.819210000000111904e-01,5.533437500000000231e-01,6.244444444444452458e-02
7.986140000000432337e-01,5.581979166666666270e-01,9.654166666666663676e-02
8.152460000000019136e-01,5.615312500000000373e-01,1.392222222222222472e-01
8.318480000000363361e-01,5.645833333333333259e-01,1.606944444444444731e-01
8.484490000000732834e-01,5.293020833333332842e-01,5.276388888888894346e-02
8.651120000000673826e-01,4.926562499999999623e-01,-1.652777777777769685e-02
8.816830000000663858e-01,4.831562500000000093e-01,-3.043055555555551628e-02
8.986509999999725551e-01,4.824999999999999845e-01,2.166666666666539065e-03
9.151000000000522050e-01,4.815312499999999662e-01,1.695833333333340853e-02
9.317320000000108848e-01,4.805416666666666448e-01,2.769444444444446596e-02
9.483030000000098880e-01,4.797916666666666718e-01,3.443055555555551983e-02
9.649960000000419313e-01,4.787812499999999916e-01,4.694444444444434428e-02
9.815670000000409345e-01,4.797291666666667065e-01,4.872222222222233334e-02
9.982909999999947104e-01,4.785729166666666812e-01,5.055555555555557579e-02
1.014831000000071981e+00,4.780416666666666980e-01,5.038888888888881645e-02
1.031463000000030661e+00,4.761458333333333792e-01,5.338888888888893014e-02
1.048034000000029664e+00,4.748645833333333122e-01,5.651388888888897455e-02
1.064880000000016480e+00,4.723750000000000449e-01,5.806944444444439579e-02
1.081482000000050903e+00,4.710625000000000506e-01,6.276388888888895234e-02
1.098082999999974163e+00,4.693229166666667007e-01,6.168055555555551628e-02
1.114745999999968262e+00,4.674270833333333264e-01,5.841666666666656127e-02
1.131347000000005210e+00,4.670312500000000089e-01,5.868055555555551361e-02
1.147949000000039632e+00,4.646041666666666514e-01,5.769444444444438158e-02
1.164611000000036256e+00,4.633124999999999605e-01,5.627777777777775992e-02
1.181213000000070679e+00,4.626875000000000293e-01,5.073611111111109295e-02
1.197845000000029358e+00,4.611770833333333486e-01,4.802777777777778034e-02
1.214476999999988038e+00,4.605208333333333792e-01,4.298611111111116934e-02
1.231201000000055501e+00,4.594374999999999987e-01,3.629166666666661101e-02
1.247893999999973857e+00,4.594583333333333020e-01,3.543055555555552072e-02
1.264526000000046224e+00,4.586666666666666670e-01,2.695833333333330639e-02
1.281097000000045227e+00,4.570416666666666794e-01,2.381944444444439313e-02
1.297729000000003907e+00,4.573020833333333313e-01,2.776388888888892126e-02
1.314391999999998006e+00,4.565833333333333410e-01,2.266666666666672381e-02
1.330993000000034954e+00,4.567812499999999720e-01,2.154166666666668117e-02
1.347624999999993634e+00,4.561145833333333233e-01,9.375000000000022204e-03
1.364227000000028056e+00,4.568229166666666896e-01,1.433333333333342008e-02
1.380981000000019776e+00,4.567500000000000449e-01,1.073611111111116845e-02
1.397644000000013875e+00,4.580729166666666630e-01,1.324999999999998401e-02
1.414275999999972555e+00,4.597291666666666332e-01,5.888888888888943463e-03
1.431242999999994936e+00,4.612916666666666554e-01,7.402777777777869161e-03
1.447508999999968182e+00,4.633541666666666781e-01,7.708333333333317050e-03
1.464111000000002605e+00,4.668749999999999845e-01,7.624999999999992895e-03
1.480743000000074971e+00,4.682187500000000169e-01,8.819444444444490827e-03
1.497375000000033651e+00,4.710729166666666745e-01,6.027777777777854062e-03
1.514006999999992331e+00,4.741770833333333046e-01,6.972222222222157484e-03
1.531005000000050131e+00,4.763541666666666896e-01,4.736111111111052097e-03
1.547363000000018474e+00,4.782916666666666705e-01,3.194444444444388687e-03
1.563994999999977153e+00,4.800729166666666825e-01,6.972222222222157484e-03
1.580627000000049520e+00,4.805624999999999480e-01,1.027777777777738599e-03
1.597228999999970256e+00,4.811354166666666488e-01,-6.763888888888791584e-03
1.613861000000042623e+00,4.803645833333333171e-01,-1.790277777777782298e-02
1.630493000000001302e+00,4.809687500000000004e-01,-2.156944444444430786e-02
1.647154999999997926e+00,4.792500000000000093e-01,-4.287499999999999645e-02
1.663817999999992026e+00,4.775833333333333597e-01,-6.259722222222219301e-02
1.680358000000069296e+00,4.784375000000000155e-01,-2.315277777777779988e-02
1.697692000000074586e+00,4.909583333333333299e-01,1.380833333333332247e-01
1.714050000000042928e+00,3.740937500000000027e-01,-1.250222222222222346e+00
1.730376999999975851e+00,nan,nan
1.747100000000045839e+00,5.488750000000000018e-01,6.050416666666666998e-01
1.763641000000006898e+00,5.304687500000000444e-01,6.519305555555554577e-01
1.780272999999965577e+00,5.322708333333333597e-01,7.183472222222222481e-01
1.796875000000000000e+00,5.335104166666666536e-01,6.733611111111110770e-01
1.813476000000036947e+00,5.311249999999999583e-01,6.233611111111110326e-01
1.830107999999995627e+00,5.297500000000000542e-01,5.780972222222222623e-01
1.846740000000067994e+00,5.280520833333333108e-01,5.359444444444444455e-01
1.863524999999981446e+00,5.283124999999999627e-01,5.042777777777778248e-01
1.880095999999980450e+00,5.293958333333333988e-01,4.836388888888889515e-01
1.896758999999974549e+00,5.303958333333332886e-01,4.664166666666667016e-01
1.913360000000011496e+00,5.328541666666667398e-01,4.520138888888888262e-01
1.929962000000045919e+00,5.339166666666665950e-01,4.432916666666666394e-01
1.946533000000044922e+00,5.218749999999999778e-01,3.879722222222221628e-01
1.963195000000041546e+00,5.168958333333333321e-01,3.350138888888888333e-01
1.979827000000000226e+00,5.211666666666666670e-01,3.421944444444444677e-01
1.996460000000070067e+00,5.229895833333333410e-01,3.412499999999999423e-01
2.013183000000026368e+00,5.265312500000000062e-01,3.431666666666666199e-01
2.029876000000058411e+00,5.308125000000000204e-01,3.476805555555555483e-01
2.046447000000057415e+00,5.336041666666666572e-01,3.531250000000000222e-01
2.063139999999975771e+00,5.373437500000000089e-01,3.562916666666666732e-01
2.079710999999974774e+00,5.419479166666666403e-01,3.618750000000000577e-01
2.096344000000044616e+00,5.459375000000000755e-01,3.659999999999999920e-01
2.112976000000003296e+00,5.506458333333333899e-01,3.679166666666666696e-01
2.129608000000075663e+00,5.556354166666666039e-01,3.691249999999999254e-01
2.146208999999998923e+00,5.616979166666666856e-01,3.719583333333333908e-01
2.162811000000033346e+00,5.690624999999999156e-01,3.792777777777777137e-01
2.179596000000060485e+00,5.761041666666666394e-01,3.798055555555555074e-01
2.196319000000016786e+00,5.648333333333332984e-01,3.246666666666666590e-01
2.212799000000018168e+00,5.641145833333333082e-01,2.977916666666666767e-01
2.229400000000055115e+00,5.741249999999999964e-01,3.072638888888888919e-01
2.246124000000008891e+00,5.843125000000000124e-01,3.127222222222222348e-01
2.262725000000045839e+00,5.962604166666666261e-01,3.207638888888888484e-01
2.279296000000044842e+00,6.091770833333333135e-01,3.280833333333333934e-01
2.295959000000038941e+00,6.238854166666666368e-01,3.367916666666667114e-01
2.312561000000073363e+00,6.357083333333333197e-01,3.387638888888889754e-01
2.329193000000032043e+00,6.482291666666666341e-01,3.422638888888889230e-01
2.345886000000064087e+00,6.636562500000000586e-01,3.410138888888888387e-01
2.362578999999982443e+00,6.808229166666667220e-01,3.395972222222222170e-01
2.379211000000054810e+00,6.988020833333333792e-01,3.330972222222221557e-01
2.395843000000013490e+00,7.177395833333333197e-01,3.324166666666665826e-01
2.412414000000012493e+00,6.805520833333333908e-01,3.789583333333333970e-01
2.429045999999971173e+00,6.044374999999999609e-01,4.697361111111111320e-01
2.445648000000005595e+00,5.341145833333332815e-01,5.245833333333332904e-01
2.462341000000037639e+00,4.660104166666666492e-01,5.487361111111110912e-01
2.478972999999996318e+00,4.000208333333333255e-01,5.466666666666666341e-01
2.495575000000030741e+00,3.441145833333333348e-01,5.645138888888888706e-01
2.512297999999987042e+00,2.832708333333333051e-01,5.783611111111111036e-01
2.528991000000019085e+00,2.124270833333333497e-01,5.616527777777777786e-01
2.545501000000058411e+00,1.605416666666666659e-01,5.634583333333333943e-01
2.562193999999976768e+00,1.431979166666666747e-01,5.623194444444443718e-01
2.579161999999996624e+00,1.769687499999999802e-01,5.643333333333333535e-01
2.595519999999964966e+00,2.127500000000000224e-01,5.579305555555555962e-01
2.612030000000004293e+00,2.481874999999999776e-01,5.486249999999999183e-01
2.628692000000000917e+00,2.835104166666667092e-01,5.305972222222221646e-01
2.645262999999999920e+00,3.119791666666666408e-01,5.226666666666666128e-01
2.662139000000024680e+00,3.396562499999999929e-01,5.080277777777777448e-01
2.679137999999966269e+00,3.612083333333332980e-01,4.843750000000000000e-01
2.695342999999979838e+00,3.864062500000000067e-01,4.798472222222222028e-01
2.711913999999978842e+00,3.801562499999999734e-01,4.932916666666666838e-01
2.728515000000015789e+00,3.041145833333332993e-01,5.667361111111111072e-01
2.745208000000047832e+00,2.472916666666666596e-01,5.883055555555555260e-01
2.761840000000006512e+00,2.595000000000000084e-01,5.809166666666666368e-01
2.778442000000040935e+00,2.730312500000000031e-01,5.733055555555555127e-01
2.795073999999999614e+00,2.908437499999999565e-01,5.676666666666667638e-01
2.811644999999998618e+00,3.034479166666666505e-01,5.547083333333333588e-01
2.828430000000025757e+00,3.171979166666666350e-01,5.513611111111111907e-01
2.845031000000062704e+00,3.239166666666666305e-01,5.421388888888888369e-01
2.861694000000056803e+00,3.288020833333333282e-01,5.325972222222222774e-01
2.878294999999980064e+00,3.356666666666666687e-01,5.274861111111111001e-01
2.894989000000009582e+00,3.406562499999999938e-01,5.283194444444444526e-01
2.911528999999973166e+00,3.396562499999999929e-01,5.219722222222222818e-01
2.928161000000045533e+00,3.367187500000000111e-01,5.102638888888888502e-01
2.944824000000039632e+00,3.391041666666667065e-01,5.151944444444445104e-01
2.961395000000038635e+00,3.267812499999999676e-01,4.876666666666666927e-01
2.978057000000035259e+00,3.043541666666666479e-01,4.437361111111111089e-01
2.994842000000062399e+00,3.235104166666666337e-01,4.968333333333333490e-01
3.011413000000061402e+00,3.248437500000000422e-01,5.169027777777778221e-01
3.028045000000020082e+00,3.175833333333333286e-01,5.204166666666666385e-01
3.044676999999978761e+00,3.140833333333333255e-01,5.379305555555555785e-01
3.061309000000051128e+00,3.144479166666666603e-01,5.596111111111110592e-01
3.078002999999966960e+00,3.065520833333333361e-01,5.669166666666667354e-01
3.094573999999965963e+00,2.859062500000000284e-01,5.545555555555554683e-01
3.111175000000002910e+00,3.010729166666666345e-01,6.135277777777777830e-01
3.127777000000037333e+00,2.906250000000000222e-01,6.384166666666666323e-01
3.144531000000029053e+00,2.795624999999999916e-01,6.204305555555555962e-01
3.161132000000066000e+00,3.136875000000000080e-01,5.193194444444444446e-01
3.178039000000012493e+00,4.193958333333333566e-01,5.496388888888888991e-01
3.194427000000018779e+00,4.944375000000000298e-01,5.582083333333334174e-01
3.211058999999977459e+00,5.605520833333332842e-01,5.370555555555556193e-01
3.227629999999976462e+00,6.544895833333332913e-01,4.693611111111111178e-01
3.244383999999968182e+00,7.198437500000000044e-01,4.879583333333332718e-01
3.260954999999967185e+00,7.980416666666666492e-01,4.384305555555555456e-01
3.277587000000039552e+00,8.601979166666666732e-01,4.180138888888889070e-01
3.294219999999995707e+00,8.629062499999999858e-01,4.280972222222222401e-01
3.310943000000065695e+00,8.522812500000001013e-01,4.235833333333333117e-01
3.327544999999986430e+00,8.552708333333333135e-01,3.991944444444445184e-01
3.344146000000023378e+00,8.829166666666666829e-01,3.255416666666666181e-01
3.360809000000017477e+00,7.890312500000000728e-01,4.405555555555555891e-01
3.377440999999976157e+00,7.703854166666667114e-01,4.418055555555555625e-01
3.394073000000048523e+00,7.510624999999999662e-01,4.382500000000000284e-01
3.410644000000047527e+00,7.312187500000000284e-01,4.346944444444444944e-01
3.427276000000006206e+00,8.029687500000000089e-01,4.009166666666666989e-01
3.443907999999964886e+00,8.783854166666666963e-01,3.385694444444443674e-01
3.460540000000037253e+00,8.905416666666666758e-01,3.265138888888888813e-01
3.477417000000059488e+00,8.686562500000000187e-01,3.355555555555556069e-01
3.493957000000023072e+00,8.443749999999999867e-01,3.423472222222222472e-01
3.510528000000022075e+00,8.187395833333332984e-01,3.524305555555555802e-01
3.527159999999980755e+00,7.959479166666666439e-01,3.488055555555555909e-01
3.543762000000015178e+00,7.855937499999999796e-01,3.209166666666666279e-01
3.560424000000011802e+00,7.399687499999999529e-01,3.667777777777777581e-01
3.577118000000041320e+00,7.125416666666666288e-01,3.625138888888889133e-01
3.593750000000000000e+00,6.898125000000000506e-01,3.672638888888889452e-01
3.610320999999999003e+00,6.678958333333332442e-01,3.755972222222222490e-01
3.626922000000035951e+00,6.452395833333333108e-01,3.783055555555555616e-01
3.643645999999989726e+00,6.291250000000000453e-01,3.803472222222222809e-01
3.660307999999986350e+00,6.132083333333332442e-01,3.822777777777778274e-01
3.676970999999980450e+00,5.996979166666667194e-01,3.811111111111110672e-01
3.693573000000014872e+00,5.889895833333332886e-01,3.816666666666667096e-01
3.710144000000013875e+00,5.810208333333333197e-01,3.781388888888889133e-01
3.726806000000010499e+00,5.730312499999999920e-01,3.740277777777778478e-01
3.743437999999969179e+00,5.668645833333333384e-01,3.887499999999999289e-01
3.760070000000041546e+00,5.720937500000000675e-01,5.668611111111110379e-01
3.776733000000035645e+00,5.870729166666667220e-01,7.441805555555556229e-01
3.793547999999987042e+00,5.927916666666667167e-01,7.762777777777777333e-01
3.810089000000061787e+00,5.940937500000000870e-01,7.645416666666666750e-01
3.826689999999985048e+00,5.930312499999998987e-01,7.596111111111111258e-01
3.843383000000017091e+00,5.954062500000000258e-01,7.439583333333332771e-01
3.859985000000051514e+00,5.972812499999999858e-01,7.357916666666666217e-01
3.876585999999974774e+00,6.008124999999999716e-01,7.247777777777777430e-01
3.893188000000009197e+00,6.068124999999999769e-01,7.180972222222221646e-01
3.909851000000003296e+00,6.087187499999999751e-01,7.057361111111111196e-01
3.926390999999966880e+00,6.137187499999999796e-01,6.968333333333333046e-01
3.943054000000074666e+00,6.168854166666667416e-01,6.851666666666667016e-01
3.959777000000030966e+00,6.199166666666666714e-01,6.736527777777777670e-01
3.977080999999998312e+00,6.212708333333333277e-01,6.675277777777777199e-01
3.993042000000059488e+00,6.224374999999999769e-01,6.572222222222221522e-01
4.009642999999982749e+00,6.243750000000000133e-01,6.478611111111111098e-01
4.026305999999976848e+00,6.256145833333334183e-01,6.390694444444444677e-01
4.042876999999975851e+00,6.247708333333332753e-01,6.281388888888888022e-01
4.059570000000007894e+00,6.241249999999999298e-01,6.181666666666666421e-01
4.076232000000004518e+00,6.580312500000000675e-01,5.896944444444444100e-01
4.092834000000038941e+00,7.482395833333332913e-01,5.528472222222222676e-01
4.109465999999997621e+00,7.692916666666665959e-01,5.474861111111111178e-01
4.126190000000065083e+00,7.693020833333332753e-01,5.410972222222221184e-01
4.142761000000064087e+00,7.673749999999999183e-01,5.366805555555556051e-01
4.159393000000022766e+00,7.656250000000000000e-01,5.339027777777778372e-01
4.176116999999976542e+00,7.629270833333332558e-01,5.379861111111111649e-01
4.192687999999975546e+00,7.621875000000000178e-01,5.365555555555555634e-01
4.209258999999974549e+00,7.567395833333333544e-01,5.382083333333333997e-01
4.225952000000006592e+00,7.545312499999999867e-01,5.394722222222222419e-01
4.242583999999965272e+00,7.481666666666666465e-01,5.361805555555555491e-01
4.259185000000002219e+00,7.434166666666666146e-01,5.378749999999999920e-01
4.276122999999984131e+00,7.405104166666666154e-01,5.392500000000000071e-01
4.292572000000063781e+00,7.347812499999999414e-01,5.384861111111111098e-01
4.309172999999987042e+00,7.320208333333333428e-01,5.384999999999999787e-01
4.325805000000059408e+00,7.292916666666666714e-01,5.382222222222221575e-01
4.342406999999980144e+00,7.269791666666666208e-01,5.416388888888888919e-01
4.359039000000052511e+00,7.086666666666666670e-01,5.339166666666667060e-01
4.375701000000049135e+00,6.804895833333333144e-01,5.190972222222222099e-01
4.392364000000043234e+00,6.808437499999999698e-01,5.173055555555554630e-01
4.408935000000042237e+00,6.801770833333333766e-01,5.197777777777777830e-01
4.425598000000036336e+00,6.764583333333332726e-01,5.196250000000000036e-01
4.442320999999992637e+00,6.749166666666666092e-01,5.214444444444443771e-01
4.459014000000024680e+00,6.733020833333333011e-01,5.196250000000000036e-01
4.475616000000059103e+00,6.711770833333333686e-01,5.211666666666666670e-01
4.492157000000020162e+00,6.702291666666666536e-01,5.232222222222222552e-01
4.508879999999976462e+00,6.674895833333333028e-01,5.220694444444444748e-01
4.525450999999975465e+00,6.656145833333333428e-01,5.219861111111110397e-01
4.542053000000009888e+00,6.633645833333333686e-01,5.237638888888889177e-01
4.558684999999968568e+00,6.616145833333333393e-01,5.220277777777777573e-01
4.575346999999965192e+00,6.600000000000000311e-01,5.234444444444443789e-01
4.591980000000035034e+00,6.587604166666666261e-01,5.221527777777776880e-01
4.608794999999986430e+00,6.547708333333334130e-01,5.209722222222222809e-01
4.625305000000025757e+00,6.502708333333333535e-01,5.179444444444445406e-01
4.641936999999984437e+00,6.503854166666667158e-01,5.219583333333333020e-01
4.658569000000056803e+00,6.461145833333332700e-01,5.200555555555554932e-01
4.675201000000015483e+00,6.433229166666667442e-01,5.185694444444444162e-01
4.692169000000035339e+00,6.409895833333333348e-01,5.199027777777778248e-01
4.708465000000046530e+00,6.394166666666667442e-01,5.200555555555554932e-01
4.725066999999967265e+00,6.379374999999999352e-01,5.229166666666666963e-01
4.741759999999999309e+00,6.319583333333332886e-01,5.115277777777778034e-01
4.758483000000069296e+00,5.849374999999999991e-01,5.065277777777776880e-01
4.775055000000065775e+00,5.508958333333333623e-01,4.931944444444444908e-01
4.791961000000014792e+00,4.618229166666666941e-01,5.348472222222222516e-01
4.808349000000021078e+00,4.527187500000000031e-01,5.756111111111110734e-01
4.824980999999979758e+00,4.534791666666666554e-01,5.973888888888889692e-01
4.841551999999978761e+00,4.554479166666666745e-01,6.029583333333332629e-01
4.858214999999972861e+00,4.578645833333333526e-01,6.024861111111111667e-01
4.874816000000009808e+00,4.591354166666666292e-01,5.998888888888889159e-01
4.891570999999999003e+00,4.608958333333333379e-01,6.005694444444444891e-01
4.908081000000038330e+00,4.621979166666666528e-01,6.009166666666667656e-01
4.924835000000030050e+00,4.629791666666666639e-01,6.001250000000000195e-01
4.941406000000029053e+00,4.640208333333333268e-01,6.005833333333333579e-01
4.958068000000025677e+00,4.669479166666666292e-01,6.031666666666666288e-01
4.974731000000019776e+00,4.685833333333332962e-01,6.037361111111110290e-01
4.991362999999978456e+00,4.693958333333333455e-01,6.056944444444445352e-01
5.007933999999977459e+00,4.692395833333333766e-01,6.048333333333333339e-01
5.024566000000049826e+00,4.699791666666666701e-01,6.076666666666665773e-01
5.041167999999970561e+00,4.693958333333333455e-01,6.071666666666666323e-01
5.057829999999967185e+00,4.698854166666666665e-01,6.075555555555556264e-01
5.074462000000039552e+00,4.707604166666666812e-01,6.072361111111110876e-01
5.091247000000066691e+00,4.705416666666666914e-01,6.055277777777777759e-01
5.107879000000025371e+00,4.701562499999999978e-01,6.059027777777777901e-01
5.124450000000024374e+00,4.694270833333333282e-01,6.040277777777777191e-01
5.141052000000058797e+00,4.684687500000000449e-01,6.043472222222221468e-01
5.157714000000055421e+00,4.688020833333333415e-01,6.010972222222221717e-01
5.174315999999976157e+00,4.674270833333333264e-01,6.000555555555555642e-01
5.190978999999970256e+00,4.668854166666666639e-01,5.973888888888889692e-01
5.207549999999969259e+00,4.809166666666666590e-01,5.910277777777778185e-01
5.224151000000006206e+00,6.043125000000000302e-01,5.692638888888889026e-01
5.240996999999993022e+00,6.414583333333332416e-01,5.483472222222222081e-01
5.257598000000029970e+00,6.500729166666666670e-01,5.522638888888888875e-01
5.274170000000026448e+00,6.525937499999999725e-01,5.470138888888889106e-01
5.290984999999977845e+00,6.554270833333333268e-01,5.492500000000000160e-01
5.307495000000017171e+00,6.555520833333333686e-01,5.481388888888889532e-01
5.324066000000016174e+00,6.557604166666666234e-01,5.480277777777777803e-01
5.340697999999974854e+00,6.554895833333332922e-01,5.491944444444445406e-01
5.357330000000047221e+00,6.548229166666666989e-01,5.528333333333332877e-01
5.373962000000005901e+00,6.536979166666666563e-01,5.525416666666667087e-01
5.390686000000073363e+00,6.533333333333334325e-01,5.542083333333333028e-01
5.407469999999989341e+00,6.515729166666666128e-01,5.583749999999999547e-01
5.423949999999990723e+00,6.516249999999998987e-01,5.566111111111111676e-01
5.440582000000063090e+00,6.512395833333334272e-01,5.588055555555555554e-01
5.457214000000021770e+00,6.506041666666667611e-01,5.576388888888889062e-01
5.473785000000020773e+00,6.509583333333333055e-01,5.583611111111110858e-01
5.490508999999974549e+00,6.506979166666666536e-01,5.590416666666666590e-01
5.507079999999973552e+00,6.488958333333333384e-01,5.506249999999999201e-01
5.523712000000045919e+00,6.428645833333332948e-01,5.196111111111111347e-01
5.540283000000044922e+00,6.404791666666667105e-01,5.195000000000000728e-01
5.556975999999963278e+00,6.408854166666666519e-01,5.185138888888889408e-01
5.573668999999995322e+00,6.425520833333333570e-01,5.173611111111111605e-01
5.590393000000062784e+00,6.415937499999999627e-01,5.166944444444443452e-01
5.606964000000061787e+00,6.421145833333332664e-01,5.151527777777777928e-01
5.623564999999985048e+00,6.413229166666666314e-01,5.147916666666666474e-01
5.640167000000019470e+00,6.411666666666666625e-01,5.151250000000000551e-01
5.656829000000016094e+00,6.416562500000000391e-01,5.152638888888889657e-01
5.673460999999974774e+00,6.424687500000000329e-01,5.159722222222222765e-01
5.690063000000009197e+00,6.420937500000000187e-01,5.164999999999999591e-01
5.706726000000003296e+00,6.415520833333333561e-01,5.189166666666666927e-01
5.723449000000073283e+00,6.425625000000000364e-01,5.168749999999999734e-01
5.740081000000031963e+00,6.419791666666666563e-01,5.165694444444444144e-01
5.756744000000026062e+00,6.420729166666666599e-01,5.159027777777778212e-01
5.773375999999984742e+00,6.424374999999999947e-01,5.161805555555555314e-01
5.789978000000019165e+00,6.431041666666666989e-01,5.166805555555555873e-01
5.806579000000056112e+00,6.427708333333332913e-01,5.154166666666666341e-01
5.823242000000050211e+00,6.426874999999999671e-01,5.149305555555555580e-01
5.839813000000049215e+00,6.429270833333333712e-01,5.147500000000000409e-01
5.856475000000045839e+00,6.445729166666666066e-01,5.126249999999998863e-01
5.873198999999999614e+00,6.920520833333333455e-01,5.131111111111110734e-01
5.889831000000071981e+00,7.178541666666666821e-01,5.106388888888888644e-01
5.906463000000030661e+00,7.163125000000000187e-01,5.122638888888888520e-01
5.923065000000065083e+00,7.167083333333332806e-01,5.120972222222222037e-01
